respondent_number	respondent_id	respondent_name	respondent_qid	respondent_gender	respondent_birth_date	respondent_death_date	respondent_wikipedia_sitelinks	respondent_wikipedia_sitelinks_retrieved	respondent_qrank	respondent_qrank_retrieved	respondent_letter_first_printed	respondent_letter_first_printed_url
28	voter-prof-j-c-freeman	Prof. J. C. Freeman	Q141235226	male	1842-02-14	1911-04-10	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-07-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA207
29	voter-w-e-furness-esq	W. E. Furness, Esq.	Q94259148	male	1839-08-21	1913-07-19	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA228
30	voter-miss-ella-a-giles	Miss Ella A. Giles	Q56096292	female	1851-02-02	1917-06-26	2	2026-09-21T08:47:41Z	400	2026-09-21T08:47:44Z	1884-09-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA268
31	voter-n-p-gilman	N. P. Gilman	Q18239172	male	1849-12-21	1912-01-23	2	2026-09-21T08:47:41Z	56	2026-09-21T08:47:44Z	1884-07-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA207
32	voter-miss-e-e-gordon	Miss E. E. Gordon	Q56248073	female	1852-10-10	1942-01-06	1	2026-09-21T08:47:41Z	269	2026-09-21T08:47:44Z	1884-08-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA249
33	voter-samuel-s-greeley-esq	Samuel S. Greeley, Esq.	Q141224134	male	1824-10-11	1916-03-08	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA228
34	voter-mrs-hattie-tyng-griswold	Mrs. Hattie Tyng Griswold	Q29920448	female	1842-01-26	1909	2	2026-09-21T08:47:41Z	300	2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA228
35	voter-edward-everett-hale	Edward Everett Hale	Q786616	male	1822-04-03	1909-06-10	18	2026-09-21T08:47:41Z	37668	2026-09-21T08:47:44Z	1884-07-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA207
36	voter-prof-w-t-harris	Prof. W. T. Harris	Q5791238	male	1835-09-10	1909-11-05	7	2026-09-21T08:47:41Z	5544	2026-09-21T08:47:44Z	1884-07-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA207
37	voter-dr-frederic-h-hedge	Dr. Frederic H. Hedge	Q5497046	male	1805-12-12	1890-08-21	1	2026-09-21T08:47:41Z	3219	2026-09-21T08:47:44Z	1884-07-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA207
38	voter-mrs-h-m-hiscock	Mrs. H. M. Hiscock	Q141475778	female	1830		0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1885-01-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA430
39	voter-mrs-israel-holmes	Mrs. Israel Holmes	Q141467407	female	1829-08-24	1912-04-01	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-08-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA249
40	voter-prof-j-k-hosmer	Prof. J. K. Hosmer	Q6137218	male	1834-01-29	1927-05-11	3	2026-09-21T08:47:41Z	1110	2026-09-21T08:47:44Z	1884-07-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA207
41	voter-miss-grace-howe	Miss Grace Howe	Q141475508	female	1838-07-03	1920-07-28	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA228
42	voter-mrs-sara-a-hubbard	Mrs. Sara A. Hubbard	Q98097675	female	1832-09-07	1918-07-31	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA228
43	voter-mrs-f-a-johnson	Mrs. F. A. Johnson	Q141476200	female	1848	1928	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-08-16	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA249
44	voter-j-ll-jones	J. Ll. Jones	Q6177549	male	1843-11-14	1918-09-12	2	2026-09-21T08:47:41Z	3985	2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA228
45	voter-mrs-s-c-ll-jones	Mrs. S. C. Ll. Jones	Q62026508	female	1832	1911	0	2026-09-21T08:47:41Z		2026-09-21T08:47:44Z	1884-08-01	https://books.google.com/books?id=zzUrAAAAYAAJ&pg=PA228
