novel_qid	novel_title	novel_language	novel_publication_year	novel_vote_count	novel_mention_count	author_qid	author_name	author_sex	novel_goodreads_id
Q28491	The Betrothed	Italian	1827	4	2	Q1064	Alessandro Manzoni	male	553434
Q2851345	Anne of Geierstein	English	1829	0	1	Q79025	Walter Scott	male	1954602
Q2894491	Belinda	English	1801	1	0	Q237575	Maria Edgeworth	female	2968487
Q29424	Fathers and Sons	Russian	1862	0	0	Q42831	Ivan Turgenev	male	1294426
Q30728806	Les Maîtres mosaïstes	French	1838	1	0	Q3816	George Sand	female	48082748
Q308918	A Tale of Two Cities	English	1859	19	1	Q5686	Charles Dickens	male	2956372
Q313129	Middlemarch	English	1871/1872	8	0	Q131333	George Eliot	female	1461747
Q3148485	Il dottor Antonio	English	1855	0	1	Q478030	Giovanni Ruffini	male	4929915
Q3203413	The Expedition of Humphry Clinker	English	1771	1	0	Q356283	Tobias Smollett	male	502618
Q3203517	The History of Henry Esmond	English	1852	22	2	Q167768	William Makepeace Thackeray	male	2096110
Q3222702	The Marble Faun	English	1860	10	1	Q69339	Nathaniel Hawthorne	male	626017
Q3234969	Old Mortality	English	1816	4	0	Q79025	Walter Scott	male	2860619
Q3400981	Lorna Doone	English	1869	5	1	Q3316148	Richard Doddridge Blackmore	male	2406767
Q3521260	The History of Sir Charles Grandison	English	1753/1754	2	0	Q295941	Samuel Richardson	male	1121594
Q3522018	The Newcomes	English	1855	19	1	Q167768	William Makepeace Thackeray	male	1559625
Q3693562	Corinne ou l'Italie	French	1807	5	0	Q123041	Germaine de Staël	female	585774
Q3793666	The Minister's Wooing	English	1859	2	0	Q102513	Harriet Beecher Stowe	female	888367
Q3795630	Le Roman d'un jeune homme pauvre	French	1858	1	0	Q1091989	Octave Feuillet	male	1418986
Q3818437	The Warden	English	1855	1	0	Q318399	Anthony Trollope	male	3102430
Q40158430	Elle et lui	French	1859	0	1	Q3816	George Sand	female	1804171
Q421615	Les Aventures de Télémaque	French	1699	1	0	Q310002	François Fénelon	male	940059
Q460583	The Pickwick Papers	English	1836/1837	4	1	Q5686	Charles Dickens	male	3315230
Q4658314	A Modern Instance	English	1882	1	0	Q526709	William Dean Howells	male	387174
Q469690	Mansfield Park	English	1814	2	0	Q36322	Jane Austen	female	224016803
Q4714138	Alec Forbes of Howglen	English	1865	1	0	Q368519	George MacDonald	male	42103341
Q4736895	Alton Locke	English	1850	2	0	Q353238	Charles Kingsley	male	3589628
Q480	Don Quixote	Spanish	1605	10	3	Q5682	Miguel de Cervantes	male	121842
Q4820313	Auf der Höhe	German	1865	22	3	Q76715	Berthold Auerbach	male	10705356
Q483034	Robinson Crusoe	English	1719	6	0	Q40946	Daniel Defoe	male	604666
Q492384	Titan	German	1800/1803	4	0	Q77079	Jean Paul	male	2004027
Q5110688	Christie Johnstone	English	1853	1	0	Q247473	Charles Reade	male	20736436
Q5114053	Chronicles of Barsetshire	English	1855/1867	1	0	Q318399	Anthony Trollope	male	
Q5233331	David Elginbrod	English	1863	1	0	Q368519	George MacDonald	male	7319
Q5442230	Felix Holt, the Radical	English	1866	4	0	Q131333	George Eliot	female	1513414
Q552238	Daniel Deronda	English	1876	8	1	Q131333	George Eliot	female	313957
Q5642996	Far from the Madding Crowd	English	1874	1	0	Q132805	Thomas Hardy	male	914540
Q5724762	Smoke	Russian	1867	2	1	Q42831	Ivan Turgenev	male	2902142
Q60172765	Inheritance	English	1824	0	1	Q7647785	Susan Edmonstone Ferrier	female	6717937
Q612836	Vanity Fair	English	1848	15	1	Q167768	William Makepeace Thackeray	male	1057468
Q6237289	John Halifax, Gentleman	English	1856	4	1	Q2331155	Dinah Craik	female	1893679
Q6240780	John Inglesant	English	1881	2	1	Q6283945	Joseph Henry Shorthouse	male	17416859
Q638327	Silas Marner	English	1861	4	0	Q131333	George Eliot	female	3049535
Q678251	Waverley	English	1814	2	0	Q79025	Walter Scott	male	1773574
Q67909796	Ekkehard	German	1855	1	1	Q9082	Joseph Victor von Scheffel	male	4061279
Q7162382	Pendennis	English	1848/1850	3	1	Q167768	William Makepeace Thackeray	male	1501241
Q7363279	Romola	English	1862/1863	36	3	Q131333	George Eliot	female	1581651
Q7382844	Ruth	English	1853	1	0	Q229226	Elizabeth Gaskell	female	1016503
Q7699351	Ten Thousand a-Year	English	1841	1	0	Q7412884	Samuel Warren	male	27760030
